sensor angle	rotator angle	time, sec
48.4337	224.889599609375	1705556057.033457
36.4187	236.87011718750003	1705556058.7443838
24.4513	248.86119384765627	1705556060.4578042
12.4962	260.8450561523438	1705556062.169835
0.7951	272.83270263671875	1705556063.8818197
11.5194	284.8167236328125	1705556065.5938025
23.4539	296.79737548828126	1705556067.3058405
35.419	308.7774658203125	1705556069.0167618
47.3255	320.76165771484375	1705556070.729103
57.5806	332.7384887695313	1705556072.440154
57.5231	333.0000244140625	1705556074.1581044
