sensor angle	rotator angle	time, sec	initial time, sec
48.4702	224.91064453125003	1705563209.6223373	1705563207.908231
36.42	236.91204833984378	1705563211.3360238	1705563207.908231
24.4264	248.92410888671878	1705563213.0525959	1705563207.908231
12.4248	260.92924804687505	1705563214.766153	1705563207.908231
0.7527	272.9340698242188	1705563216.482163	1705563207.908231
11.6774	284.95322265625003	1705563218.1997702	1705563207.908231
23.6575	296.9793579101563	1705563219.9165351	1705563207.908231
35.6774	308.9838745117188	1705563221.6325653	1705563207.908231
47.5834	320.9819702148438	1705563223.3468332	1705563207.908231
57.5918	332.9823364257813	1705563225.0615761	1705563207.908231
57.5117	333.00004882812505	1705563226.7785838	1705563207.908231
