x sens	y sens	zen sens	azim sens	zenith angle	azimuth angle	radius sens
-0.5828	0.0417	-0.0097	265.9055	0.0	0.0	0.5843
0.0712	0.6621	0.0234	173.8603	0.0	90.001	0.6659
0.5993	0.0355	-0.0032	93.3916	0.0	180.0	0.6004
0.0479	-0.6043	-0.0008	4.5376	0.0	270.0	0.6062
-0.5801	8.4016	3.004	183.9495	3.0	0.0	8.4216
8.2831	0.6939	2.9635	94.789	3.0	90.0	8.3121
0.5731	-8.2919	2.9633	3.9542	3.0	180.0	8.3117
-8.2774	-0.502	2.9563	273.4705	3.0	270.0	8.2926
-0.5722	16.6901	6.0023	181.9635	6.0	-0.0	16.6999
16.6566	0.6291	5.9911	92.1633	6.0	90.0	16.6685
0.616	-16.7092	6.0096	2.1117	6.0	180.0	16.7206
-16.6774	-0.4936	5.9968	271.6951	6.0	270.0	16.6847
-0.5475	25.136	9.003	181.2476	9.0	0.0	25.142
25.108	0.6488	8.994	91.4803	9.0	89.999	25.1164
0.5997	-25.0587	8.9761	1.3711	9.0	180.0	25.0659
-25.0508	-0.5829	8.9731	271.3329	9.0	270.0	25.0576
-0.5802	33.7043	12.0125	180.9862	12.0	-0.0	33.7093
33.6305	0.6138	11.987	91.0457	12.0	90.0	33.6361
0.6511	-33.6389	11.9902	1.1089	12.0	180.0	33.6452
-33.5496	-0.5999	11.9587	271.0243	12.0	270.0	33.555
-0.5862	42.365	14.9906	180.7926	15.0	-0.0	42.3691
42.3353	0.6503	14.9808	90.8801	15.0	90.0	42.3403
0.6171	-42.3017	14.9693	0.8358	15.0	180.0	42.3062
-42.2772	-0.6407	14.9611	270.8682	15.0	270.0	42.2821
-0.5812	51.2524	17.9516	180.6496	18.0	-0.0	51.2557
51.2855	0.656	17.9627	90.7329	18.0	90.0	51.2897
0.66	-51.2103	17.9381	0.7384	18.0	180.0	51.2146
-51.1143	-0.5747	17.9063	270.6441	18.0	270.0	51.1175
-0.5976	60.4521	20.9091	180.5664	21.0	-0.0	60.4551
60.4493	0.6624	20.9084	90.6279	21.0	90.0	60.4529
0.6893	-60.3538	20.8783	0.6544	21.0	180.0	60.3577
-60.252	-0.5983	20.8459	270.5689	21.0	270.0	60.255
-0.5796	69.9843	23.8591	180.4745	24.0	0.0	69.9867
69.8451	0.6612	23.8172	90.5424	24.0	90.0	69.8482
0.6989	-69.8251	23.8112	0.5735	24.0	180.0	69.8286
-69.7281	-0.6368	23.7817	270.5232	24.0	270.0	69.731
-0.6082	79.8355	26.7151	180.4364	27.0	0.0	79.8378
79.783	0.6565	26.7008	90.4715	27.0	89.999	79.7857
0.7155	-79.6064	26.6527	0.515	27.0	179.999	79.6096
-79.6274	-0.6412	26.6582	270.4614	27.0	269.999	79.63
