x sens	y sens	zen sens	azim sens	zenith angle	azimuth angle	radius sens
234.585	240.653	nan	nan	270.0	-0.0	336.0714040706231
226.781	249.528	nan	nan	270.0	90.0	337.18517871490144
235.996	257.249	nan	nan	270.0	179.999	349.10050131301733
243.489	248.332	nan	nan	270.0	270.0	347.7868245707419
234.539	241.859	nan	nan	270.4	0.0	336.90401956937234
227.9	249.649	nan	nan	270.4	90.0	338.0281544501878
235.956	256.12	nan	nan	270.4	180.0	348.2422839575918
242.431	248.256	nan	nan	270.4	270.0	346.99255222122565
234.538	242.945	nan	nan	270.8	0.0	337.68379657454693
229.088	249.63	nan	nan	270.8	90.0	338.8162461335052
235.902	254.997	nan	nan	270.8	179.999	347.380517031396
241.369	248.283	nan	nan	270.8	270.0	346.2707643593377
234.546	244.021	nan	nan	271.2	0.0	338.4642884515292
230.224	249.668	nan	nan	271.2	89.999	339.6133101043008
235.881	253.974	nan	nan	271.2	180.0	346.6159817968583
240.251	248.343	nan	nan	271.2	270.0	345.5355099696701
234.573	245.095	nan	nan	271.6	0.0	339.2580895925696
231.388	249.673	nan	nan	271.6	90.0	340.4071289984979
235.828	252.922	nan	nan	271.6	180.0	345.80975068381167
239.142	248.383	nan	nan	271.6	270.0	344.7941572199274
234.604	246.187	nan	nan	272.0	0.0	340.0692220489823
232.464	249.645	nan	nan	272.0	90.0	341.1189489327733
235.831	251.866	nan	nan	272.0	179.999	345.0402042038
238.025	248.394	nan	nan	272.0	270.0	344.0283125863335
234.618	247.359	nan	nan	272.4	0.0	340.92826342942
233.547	249.658	nan	nan	272.4	90.0	341.8673985231701
235.838	250.732	nan	nan	272.4	180.0	344.2180966596614
236.876	248.419	nan	nan	272.4	270.0	343.25244199714007
234.655	248.525	nan	nan	272.8	-0.0	341.8005919392183
234.645	249.703	nan	nan	272.8	90.0	342.65122826862887
235.845	249.609	nan	nan	272.8	180.0	343.4057613174246
235.776	248.447	nan	nan	272.8	270.0	342.5145748504726
234.616	249.669	nan	nan	273.2	0.0	342.6065921972314
235.816	249.67	nan	nan	273.2	90.001	343.4301890573978
235.811	248.457	nan	nan	273.2	180.0	342.54592184114523
234.666	248.486	nan	nan	273.2	270.0	341.779788390127
234.637	250.773	nan	nan	273.6	0.0	343.426293836101
236.93	249.635	nan	nan	273.6	90.0	344.17068167553145
235.779	247.302	nan	nan	273.6	180.001	341.68701474448807
233.534	248.529	nan	nan	273.6	270.0	341.0348853079403
234.669	251.903	nan	nan	274.0	0.0	344.27410731857253
238.092	249.624	nan	nan	274.0	90.0	344.96368191448795
235.735	246.153	nan	nan	274.0	180.0	340.8258934324093
232.421	248.512	nan	nan	274.0	270.0	340.2612751768852
234.717	252.941	nan	nan	274.4	-0.0	345.0669783824584
239.194	249.594	nan	nan	274.4	90.0	345.70353552140597
235.701	245.075	nan	nan	274.4	180.0	340.02458297305503
231.299	248.465	nan	nan	274.4	270.0	339.46146117932153
234.75	253.952	nan	nan	274.8	0.0	345.83114493058605
240.239	249.552	nan	nan	274.8	90.0	346.3971388810825
235.667	243.986	nan	nan	274.8	179.999	339.2168968152972
230.192	248.476	nan	nan	274.8	270.0	338.7162225816768
234.791	255.022	nan	nan	275.2	-0.0	346.64540118830365
241.362	249.512	nan	nan	275.2	90.0	347.1481718056427
235.656	242.911	nan	nan	275.2	179.999	338.4368541648501
229.086	248.45	nan	nan	275.2	270.0	337.9464423484881
234.799	256.121	nan	nan	275.6	-0.0	347.4601229522605
242.453	249.482	nan	nan	275.6	90.001	347.8860812579313
235.65	241.82	nan	nan	275.6	180.0	337.6504626088938
227.844	248.475	nan	nan	275.6	270.0	337.1241818099081
